layer,component,direction,mean_effect,std_effect,n_examples
5,decoder_cross_attn,reverse,0.21300211625722304,0.09394676988911198,100
5,decoder_mlp,forward,0.22917086085573665,0.09890859237703528,100
5,decoder_mlp,reverse,0.21300211625722304,0.09394676988911198,100
5,decoder_self_attn,forward,0.20887831415328806,0.10038619729835228,100
5,decoder_self_attn,reverse,0.1979655583281411,0.0975301713452845,100
5,encoder_mlp,forward,0.08467502533553876,0.25871806562761845,100
5,encoder_mlp,reverse,0.40324008924826804,0.7965472115100538,100
5,encoder_self_attn,forward,0.08467502533553876,0.25871806562761845,100
5,encoder_self_attn,reverse,0.40324008924826804,0.7965472115100538,100
6,decoder_cross_attn,forward,0.30413740352488666,0.09996115373552725,100
6,decoder_cross_attn,reverse,0.2926479459951475,0.09610924558200695,100
6,decoder_mlp,forward,0.30413740352488666,0.09996115373552725,100
6,decoder_mlp,reverse,0.2926479459951475,0.09610924558200695,100
6,decoder_self_attn,forward,0.22917086085573665,0.09890859237703528,100
6,decoder_self_attn,reverse,0.21300211625722304,0.09394676988911198,100
6,encoder_mlp,forward,0.127529920218245,0.26531577467615297,100
6,encoder_mlp,reverse,0.4166874486028017,0.9130233579822318,100
6,encoder_self_attn,forward,0.127529920218245,0.26531577467615297,100
6,encoder_self_attn,reverse,0.4166874486028017,0.9130233579822318,100
7,decoder_cross_attn,forward,0.3571122934113254,0.10299971691009163,100
7,decoder_cross_attn,reverse,0.3470821458120094,0.09811221977799318,100
7,decoder_mlp,forward,0.3571122934113254,0.10299971691009163,100
7,decoder_mlp,reverse,0.3470821458120094,0.09811221977799318,100
7,decoder_self_attn,forward,0.30413740352488666,0.09996115373552725,100
7,decoder_self_attn,reverse,0.2926479459951475,0.09610924558200695,100
7,encoder_mlp,forward,0.2281726577725947,0.30065445824913206,100
7,encoder_mlp,reverse,0.8298625908451952,0.7967367464852433,100
7,encoder_self_attn,forward,0.2281726577725947,0.30065445824913206,100
7,encoder_self_attn,reverse,0.8298625908451952,0.7967367464852433,100
8,decoder_cross_attn,forward,0.4781554287674041,0.11605518999576839,100
8,decoder_cross_attn,reverse,0.4711203954192735,0.11389687007761326,100
8,decoder_mlp,forward,0.4781554287674041,0.11605518999576839,100
8,decoder_mlp,reverse,0.4711203954192735,0.11389687007761326,100
8,decoder_self_attn,forward,0.3571122934113254,0.10299971691009163,100
8,decoder_self_attn,reverse,0.3470821458120094,0.09811221977799318,100
8,encoder_mlp,forward,0.2852351236667256,0.29984953978950774,100
8,encoder_mlp,reverse,0.8998884105818606,0.8977357843862699,100
8,encoder_self_attn,forward,0.2852351236667256,0.29984953978950774,100
8,encoder_self_attn,reverse,0.8998884105818606,0.8977357843862699,100
9,decoder_cross_attn,forward,0.6432821655045018,0.11942207957668236,100
9,decoder_cross_attn,reverse,0.6406948343509812,0.10497877183080355,100
9,decoder_mlp,forward,0.6432821655045018,0.11942207957668236,100
9,decoder_mlp,reverse,0.6406948343509812,0.10497877183080355,100
9,decoder_self_attn,forward,0.4781554287674041,0.11605518999576839,100
9,decoder_self_attn,reverse,0.4711203954192735,0.11389687007761326,100
9,encoder_mlp,forward,0.5075188982578822,0.3010392082139701,100
9,encoder_mlp,reverse,0.7660816258979078,0.7622445518235604,100
9,encoder_self_attn,forward,0.5075188982578822,0.3010392082139701,100
9,encoder_self_attn,reverse,0.7660816258979078,0.7622445518235604,100
10,decoder_cross_attn,forward,0.6675625258868568,0.14566873575866546,100
10,decoder_cross_attn,reverse,0.6677282269583289,0.1265955578164685,100
10,decoder_mlp,forward,0.6675625258868568,0.14566873575866546,100
10,decoder_mlp,reverse,0.6677282269583289,0.1265955578164685,100
10,decoder_self_attn,forward,0.6432821655045018,0.11942207957668236,100
10,decoder_self_attn,reverse,0.6406948343509812,0.10497877183080355,100
10,encoder_mlp,forward,0.8715405156291961,0.3074563029688909,100
10,encoder_mlp,reverse,0.8434758935781603,0.3717285958862058,100
10,encoder_self_attn,forward,0.8715405156291961,0.3074563029688909,100
10,encoder_self_attn,reverse,0.8434758935781603,0.3717285958862058,100
11,decoder_cross_attn,forward,1.0,0.0,100
11,decoder_cross_attn,reverse,1.0,0.0,100
11,decoder_mlp,forward,1.0,0.0,100
11,decoder_mlp,reverse,1.0,0.0,100
11,decoder_self_attn,forward,0.6675625258868568,0.14566873575866546,100
11,decoder_self_attn,reverse,0.6677282269583289,0.1265955578164685,100
11,encoder_mlp,forward,0.8310013307788965,0.15764171588589765,100
11,encoder_mlp,reverse,0.9660968862311355,0.07305383716783564,100
11,encoder_self_attn,forward,0.8310013307788965,0.15764171588589765,100
11,encoder_self_attn,reverse,0.9660968862311355,0.07305383716783564,100
